dataset,regla,registros_afectados,accion,justificacion
renipress,codificacion_utf8_vs_latin1,0,conservado,Archivo leído sin degradación de caracteres con 'utf-8-sig' (BOM UTF-8 detectado en la fuente original).
renipress,coordenadas_nulas_cero_o_faltantes,999,descartado,Sin coordenadas utilizables para geocodificar/rutear; se excluyen del GeoParquet.
renipress,latitud_longitud_intercambiada,0,conservado,NORTE/ESTE tenían magnitudes propias de longitud/latitud invertidas; se intercambiaron columnas. Tasa de recuperación sobre registros inicialmente fuera de rango: 0.0% (0/1).
renipress,coordenadas_fuera_de_bbox_peru,1,descartado,"Coordenadas fuera de lon [-81.4, -68.6] / lat [-18.4, -0.04] incluso tras evaluar el intercambio lat/lon; no corregibles automáticamente."
renipress,codigos_establecimiento_duplicados,0,conservado,No se encontraron valores duplicados de 'COD_IPRESS' en el subconjunto filtrado.
renipress,normalizacion_categoria_resolutivo,242,conservado,"CATEGORIA normalizada (trim + mayúsculas) y clasificada como resolutiva (['II-1', 'II-2', 'II-E', 'III-1', 'III-2', 'III-E']) vs no resolutiva (['I-1', 'I-2', 'I-3', 'I-4']). 242 registros no tienen una categoría reconocida (p.ej. '0' = sin categorizar en RENIPRESS) y se conservan con es_resolutivo=False."
renipress,punto_fuera_de_poligono_distrital_declarado,284,conservado,"El punto no cae dentro del polígono del distrito (UBIGEO) que el propio registro declara; se conserva marcado en 'dentro_poligono_declarado=False' para revisión manual, ya que el error puede estar en la coordenada o en el UBIGEO. Adicionalmente 20 registros tienen un punto que no cae dentro de ningún polígono distrital del shapefile (coordenada inválida o fuera de cobertura)."
centros_poblados,coordenadas_nulas_cero_o_faltantes,0,conservado,Sin coordenadas utilizables como destino/origen de ruteo; se excluyen del GeoParquet.
centros_poblados,latitud_longitud_intercambiada,0,conservado,Columnas X/Y con magnitudes de longitud/latitud invertidas; se intercambiaron. Tasa de recuperación sobre registros inicialmente fuera de rango: 0.0% (0/0).
centros_poblados,coordenadas_fuera_de_bbox_peru,0,conservado,"Coordenadas fuera de lon [-81.4, -68.6] / lat [-18.4, -0.04] incluso tras evaluar el intercambio lat/lon."
centros_poblados,punto_fuera_de_poligono_distrital_declarado,204,conservado,"El punto no cae dentro del polígono del distrito (nombre DIST/PROV/DEP) que el propio registro declara; se conserva marcado en 'dentro_poligono_declarado=False' para revisión manual. 676 registros no encontraron un distrito homónimo en el shapefile del IGN (posible diferencia de nomenclatura), y 13 cayeron fuera de todo polígono distrital pese a resolverse el nombre."
